2011; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 3"; b; 577368; 
2011; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 3"; c; 3530810; 
2011; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 4"; a; 2; 
2011; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 4"; b; 7633900; 
2011; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 4"; c; 3053560; 
2011; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 6"; a; 1; 
2012; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 10"; a; 2; 
2012; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 10"; c; 5622224; 
2012; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 15"; a; 2; 
2012; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 15"; b; 9271000; 
2012; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 3"; a; 4; 
2012; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 3"; b; 20976837; 
2012; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 3"; c; 15641206; 
2012; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 4"; a; 5; 
2012; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 4"; b; 18416960; 
2013; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 1"; a; 1; 
2013; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 10"; a; 2; 
2013; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 10"; b; 10000000; 
2013; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 10"; c; 362037395; 
2013; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 14"; a; 1; 
2013; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 14"; b; 2938706; 
2013; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 3"; a; 2; 
2013; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 3"; b; 20235787; 
2013; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 3"; c; 41894960; 
2013; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 4"; c; 2505000; 
2014; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 1"; a; 3; 
2014; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 1"; b; 2760; 
2014; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 1"; c; 620; 
2014; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 10"; a; 2; 
2014; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 10"; b; 23200000; 
2014; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 10"; c; 256378629; 
2014; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 11"; a; 2; 
2014; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 11"; b; 4000000; 
2014; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 11"; c; 680000; 
2014; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 14"; c; 2846; 
2014; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 15"; c; 632583; 
2014; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 3"; a; 4; 
2014; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 3"; b; 41700750; 
2014; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 3"; c; 30157111; 
2014; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 4"; c; 5010000; 
2015; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 1"; c; 2140; 
2015; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 10"; a; 6; 
2015; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 10"; b; 500200000; 
2015; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 10"; c; 498647443; 
2015; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 11"; a; 2; 
2015; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 11"; b; 4709601; 
2015; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 11"; c; 465000; 
2015; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 15"; c; 4201994; 
2015; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 2"; a; 2; 
2015; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 2"; b; 30000; 
2015; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 22"; a; 1; 
2015; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 22"; b; 3750000; 
2015; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 3"; a; 2; 
2015; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 3"; b; 6925020; 
2015; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 4"; a; 3; 
2015; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 4"; b; 67743173; 
2015; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 4"; c; 42063173; 
2015; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 5"; a; 2; 
2015; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 5"; b; 645000; 
2015; 0; ES; Spain; SA; "Saudi Arabia"; ME; "Middle East"; "ML 5"; c; 600000; 
